userID;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Aad Versteden;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;low;0;0;0
Aalt D. J. van Dijk;0;0;0;0;0;0;0;0;0;low;0;0;0;0;0;0;0;0;0;0;0
Aamir Anis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;low;0;0;0;0;0;0
Aamir Manaswala;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;low
Aamir Mansawala;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;low
Aapo Hyvärinen;0;0;0;0;0;0;0;0;low;low;0;0;0;0;low;0;0;low;low;low;low
Aapo Kyrola;0;0;0;0;0;0;0;0;0;0;0;low;0;0;0;0;0;0;0;0;0
Aaron Adler;0;0;0;0;low;0;0;0;0;low;0;0;0;low;0;0;0;0;low;low;0
Aaron Archer;0;0;0;0;0;0;0;0;0;0;0;0;low;0;0;0;0;low;0;0;0
Aaron B. Adcock;0;0;0;0;0;0;0;0;0;0;0;0;0;low;0;0;0;0;0;0;0
Aaron Bostrom;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;low;0;0;0;0
Aaron Burry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;low;low;0;0;0;0;0
Aaron C. Courville;0;0;0;0;0;0;0;low;0;0;0;low;low;avg;low;low;hi;hi;hi;avg;avg
Aaron Cahn;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;low;0;0;0;0
Aaron Call;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;low;0;0;0;0;0
Aaron Ceglar;0;0;0;0;0;0;0;low;0;0;0;0;0;0;0;0;0;0;0;0;0
Aaron Chan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;low;0;0
Aaron Chu;0;0;0;0;0;0;0;0;low;0;0;0;0;0;0;0;0;0;0;0;0
Aaron Clauset;0;0;0;0;0;0;low;0;0;low;0;0;0;0;0;0;low;0;0;0;0
Aaron Crawford;0;0;0;0;0;0;0;0;0;0;0;0;0;low;low;0;0;0;0;0;0
Aaron D'Souza;0;0;0;0;low;0;low;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aaron Davidson;0;0;0;low;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;low
Aaron Defazio;0;0;0;0;0;0;0;0;0;0;0;0;low;0;low;0;0;0;0;0;low
Aaron Eberhart;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;low
Aaron Elkiss;0;0;0;0;0;0;0;low;0;0;0;0;0;0;0;0;0;0;0;0;0
Aaron F. Bobick;low;low;0;0;avg;low;low;0;0;0;0;0;0;0;low;0;0;0;0;0;0
Aaron Feng;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;low;0
Aaron Fenster;0;0;0;0;0;0;0;0;0;0;0;0;0;avg;low;0;low;0;0;0;0
Aaron Fernandes;0;0;0;low;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aaron Flores;0;0;0;0;0;0;0;0;0;0;0;0;low;low;0;low;0;0;0;low;avg
Aaron Gage;0;0;0;0;low;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aaron Gerow;0;0;0;0;0;0;0;0;0;0;0;low;0;0;0;0;0;0;0;0;0
Aaron Halfaker;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;low;0;low;0;0;0
Aaron Harwood;0;0;0;0;0;low;0;0;0;0;low;0;0;0;0;0;0;low;low;0;0
Aaron Heller;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;low;0;0;0;0
Aaron Hertzmann;low;0;0;low;0;0;0;avg;0;0;0;0;0;0;low;0;low;low;0;low;low
Aaron Huber;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;low;0
Aaron Hunter;0;0;0;0;0;low;low;low;0;0;0;0;0;0;0;avg;0;low;0;0;low
Aaron Isaksen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;avg;low;0;0;0
Aaron J. Elmore;0;0;0;0;0;0;0;0;0;0;0;low;0;low;0;low;0;low;avg;avg;avg
Aaron Johnson;0;0;0;0;0;0;0;0;0;0;0;0;0;low;0;0;0;0;0;0;0
Aaron Kershenbaum;0;0;0;0;0;0;0;low;0;0;0;0;0;0;0;0;0;0;0;0;0
Aaron Klein;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;low;0;low;low;0
Aaron Koolyk;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;low;0;0;0
Aaron Krowne;0;0;0;low;0;0;0;0;0;low;0;0;0;0;0;0;0;0;0;0;0
Aaron Lawson;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;low;0;0;0
Aaron Loh;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;low
Aaron Lou;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;low
Aaron M. Cohen;0;0;0;0;0;0;0;0;0;0;0;0;0;low;0;0;0;0;0;0;low
Aaron M. Ferber;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;low
Aaron M. Smalter;0;0;0;0;0;0;0;0;0;low;0;0;0;0;0;0;0;0;0;0;0
Aaron Magat;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;low;0;0;0
Aaron Mannes;0;0;0;0;0;0;0;0;low;0;0;0;0;0;0;0;0;0;0;0;0
Aaron Maschinot;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;low;0;0
Aaron Michaux;0;0;0;0;0;0;0;0;0;0;0;0;0;low;0;0;0;0;0;0;0
Aaron Michelony;0;0;0;0;0;0;0;0;0;0;0;0;low;0;0;0;0;0;0;0;0
Aaron Mininger;0;0;0;0;0;0;0;0;0;0;0;0;low;0;0;low;low;0;low;0;0
Aaron Mishtal;0;0;0;0;0;0;0;0;0;0;0;0;low;0;0;0;0;0;0;0;0
Aaron N. Kaplan;0;0;0;0;0;0;0;low;0;0;low;0;0;0;0;0;0;0;0;0;0
Aaron N. Richter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;low;0
Aaron Nech;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;low;0;0;0
Aaron Netz;0;0;0;0;0;0;0;0;0;0;0;low;0;0;0;0;0;0;0;0;0
Aaron Nicolson;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;low
Aaron P. Shon;0;0;0;0;0;0;0;low;0;0;0;0;0;0;0;0;0;0;0;0;0
Aaron Parker;0;0;0;0;0;0;0;0;0;0;low;0;0;0;0;0;0;0;0;0;0
Aaron Q. Li;0;0;0;0;0;0;0;0;0;0;0;0;0;0;low;0;0;0;0;0;0
Aaron Randall Tuor;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;low;0;0
Aaron Roth 0001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;low;low;low;avg;avg;low;low
Aaron S. Crandall;0;0;0;0;0;0;0;low;low;0;0;0;0;0;0;0;0;0;0;0;0
Aaron Sarna;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;low;low;0;low
Aaron Schein;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;low;low;0;0;low;0
Aaron Schlenker;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;low;low;0;0;low
Aaron Shagrin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;low;0;0
